time,AHL,LasR_mRNA,LasR,GFP_mRNA,GFP,LasR.AHL,IPTG_LasR
1551.8,1e-09,10.7285040029,4366.7449577,1.17519142649e-05,0.000343566564007,61.2377069142,-7.1581546829e-05
1551.9,1e-09,10.7285047704,4366.87675365,1.17519151544e-05,0.000343566760021,61.2446938116,-7.15852035047e-05
1552.0,1e-09,10.7285055374,4367.00853436,1.17519160433e-05,0.000343566955931,61.2516809198,-7.15888600078e-05
1552.1,1e-09,10.7285063039,4367.14029983,1.17519169318e-05,0.000343567151738,61.2586682389,-7.15925163383e-05
1552.2,1e-09,10.7285070701,4367.27205006,1.17519178197e-05,0.000343567347441,61.2656557688,-7.15961724961e-05
1552.3,1e-09,10.7285078357,4367.40378505,1.17519187071e-05,0.00034356754304,61.2726435094,-7.15998284813e-05
1552.4,1e-09,10.728508601,4367.53550481,1.1751919594e-05,0.000343567738536,61.2796314609,-7.16034842939e-05
1552.5,1e-09,10.7285093658,4367.66720934,1.17519204804e-05,0.000343567933928,61.286619623,-7.16071399339e-05
1552.6,1e-09,10.7285101301,4367.79889864,1.17519213663e-05,0.000343568129218,61.2936079959,-7.16107954013e-05
1552.7,1e-09,10.728510894,4367.9305727,1.17519222516e-05,0.000343568324404,61.3005965795,-7.16144506962e-05
1552.8,1e-09,10.7285116575,4368.06223154,1.17519231364e-05,0.000343568519486,61.3075853737,-7.16181058186e-05
1552.9,1e-09,10.7285124205,4368.19387515,1.17519240208e-05,0.000343568714466,61.3145743786,-7.16217607684e-05
1553.0,1e-09,10.7285131831,4368.32550354,1.17519249046e-05,0.000343568909342,61.3215635941,-7.16254155457e-05
1553.1,1e-09,10.7285139452,4368.45711671,1.17519257879e-05,0.000343569104116,61.3285530202,-7.16290701505e-05
1553.2,1e-09,10.7285147069,4368.58871465,1.17519266707e-05,0.000343569298786,61.3355426569,-7.16327245829e-05
1553.3,1e-09,10.7285154681,4368.72029737,1.17519275529e-05,0.000343569493353,61.3425325041,-7.16363788428e-05
1553.4,1e-09,10.728516229,4368.85186488,1.17519284347e-05,0.000343569687818,61.3495225619,-7.16400329302e-05
1553.5,1e-09,10.7285169893,4368.98341717,1.1751929316e-05,0.000343569882179,61.3565128301,-7.16436868452e-05
1553.6,1e-09,10.7285177492,4369.11495425,1.17519301967e-05,0.000343570076438,61.3635033088,-7.16473405878e-05
1553.7,1e-09,10.7285185087,4369.24647612,1.17519310769e-05,0.000343570270594,61.3704939979,-7.1650994158e-05
1553.8,1e-09,10.7285192678,4369.37798277,1.17519319566e-05,0.000343570464647,61.3774848975,-7.16546475558e-05
1553.9,1e-09,10.7285200264,4369.50947422,1.17519328359e-05,0.000343570658598,61.3844760075,-7.16583007813e-05
1554.0,1e-09,10.7285207845,4369.64095046,1.17519337146e-05,0.000343570852446,61.3914673278,-7.16619538344e-05
1554.1,1e-09,10.7285215423,4369.77241149,1.17519345927e-05,0.000343571046192,61.3984588585,-7.16656067151e-05
1554.2,1e-09,10.7285222996,4369.90385732,1.17519354704e-05,0.000343571239835,61.4054505995,-7.16692594235e-05
1554.3,1e-09,10.7285230564,4370.03528795,1.17519363476e-05,0.000343571433375,61.4124425508,-7.16729119597e-05
1554.4,1e-09,10.7285238128,4370.16670338,1.17519372243e-05,0.000343571626814,61.4194347124,-7.16765643235e-05
1554.5,1e-09,10.7285245688,4370.29810361,1.17519381004e-05,0.00034357182015,61.4264270843,-7.1680216515e-05
1554.6,1e-09,10.7285253243,4370.42948864,1.17519389761e-05,0.000343572013383,61.4334196663,-7.16838685343e-05
1554.7,1e-09,10.7285260794,4370.56085848,1.17519398512e-05,0.000343572206515,61.4404124586,-7.16875203814e-05
1554.8,1e-09,10.7285268341,4370.69221313,1.17519407258e-05,0.000343572399544,61.4474054611,-7.16911720562e-05
1554.9,1e-09,10.7285275883,4370.82355258,1.17519416e-05,0.000343572592471,61.4543986737,-7.16948235588e-05
1555.0,1e-09,10.7285283421,4370.95487685,1.17519424736e-05,0.000343572785296,61.4613920964,-7.16984748891e-05
1555.1,1e-09,10.7285290954,4371.08618593,1.17519433467e-05,0.000343572978019,61.4683857293,-7.17021260474e-05
1555.2,1e-09,10.7285298483,4371.21747982,1.17519442193e-05,0.000343573170641,61.4753795722,-7.17057770334e-05
1555.3,1e-09,10.7285306008,4371.34875852,1.17519450914e-05,0.00034357336316,61.4823736252,-7.17094278473e-05
1555.4,1e-09,10.7285313528,4371.48002205,1.1751945963e-05,0.000343573555577,61.4893678883,-7.1713078489e-05
1555.5,1e-09,10.7285321044,4371.61127039,1.17519468341e-05,0.000343573747893,61.4963623613,-7.17167289587e-05
1555.6,1e-09,10.7285328556,4371.74250355,1.17519477047e-05,0.000343573940107,61.5033570443,-7.17203792562e-05
1555.7,1e-09,10.7285336063,4371.87372154,1.17519485747e-05,0.000343574132219,61.5103519373,-7.17240293816e-05
1555.8,1e-09,10.7285343566,4372.00492435,1.17519494443e-05,0.00034357432423,61.5173470402,-7.1727679335e-05
1555.9,1e-09,10.7285351064,4372.13611199,1.17519503134e-05,0.000343574516139,61.524342353,-7.17313291162e-05
1556.0,1e-09,10.7285358559,4372.26728445,1.1751951182e-05,0.000343574707946,61.5313378758,-7.17349787255e-05
1556.1,1e-09,10.7285366048,4372.39844174,1.175195205e-05,0.000343574899652,61.5383336083,-7.17386281627e-05
1556.2,1e-09,10.7285373534,4372.52958387,1.17519529176e-05,0.000343575091257,61.5453295508,-7.17422774279e-05
1556.3,1e-09,10.7285381015,4372.66071082,1.17519537846e-05,0.00034357528276,61.552325703,-7.17459265211e-05
1556.4,1e-09,10.7285388492,4372.79182262,1.17519546512e-05,0.000343575474162,61.559322065,-7.17495754423e-05
1556.5,1e-09,10.7285395965,4372.92291925,1.17519555172e-05,0.000343575665463,61.5663186368,-7.17532241915e-05
1556.6,1e-09,10.7285403433,4373.05400071,1.17519563828e-05,0.000343575856662,61.5733154184,-7.17568727688e-05
1556.7,1e-09,10.7285410897,4373.18506702,1.17519572478e-05,0.00034357604776,61.5803124096,-7.17605211742e-05
