time,ribA,ribD1,ribD2,E1,ribH,ribE,E2,GTP,C01304,C01268,C04454,C04732,C04332,riboflavin,FMN
8.0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999992e-07,7.99200796004e-18,3.19680316272e-26,8.52480843959e-35,1.7049616886e-43,2.72793863589e-52,3.63725107675e-61,4.15685689372e-70
8.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999992e-07,8.09190805914e-18,3.27722274185e-26,8.84850140895e-35,1.79182153604e-43,2.90275082173e-52,3.91871316054e-61,4.53450940684e-70
8.2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999992e-07,8.19180815822e-18,3.35864132194e-26,9.18028628623e-35,1.88195868945e-43,3.08641218327e-52,4.2180961905e-61,4.94119680078e-70
8.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999992e-07,8.2917082573e-18,3.441058903e-26,9.52026297153e-35,1.97545456741e-43,3.27925451371e-52,4.53630160603e-61,5.37875596562e-70
8.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999992e-07,8.39160835636e-18,3.52447548502e-26,9.86853136495e-35,2.07239158751e-43,3.48161779806e-52,4.87426443457e-61,5.84911560797e-70
8.5,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999992e-07,8.49150845542e-18,3.60889106801e-26,1.02251913666e-34,2.17285316632e-43,3.69385031303e-52,5.23295411584e-61,6.35429965088e-70
8.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999991e-07,8.59140855447e-18,3.69430565197e-26,1.05903428765e-34,2.27692371943e-43,3.91630872695e-52,5.61337533598e-61,6.89643071669e-70
8.7,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999991e-07,8.6913086535e-18,3.78071923688e-26,1.09640857949e-34,2.38468866143e-43,4.14935819965e-52,6.01656887168e-61,7.47773369383e-70
8.8,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999991e-07,8.79120875253e-18,3.86813182277e-26,1.13465200218e-34,2.49623440588e-43,4.39337248238e-52,6.44361244437e-61,8.10053938844e-70
8.9,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999991e-07,8.89110885154e-18,3.95654340962e-26,1.17377454572e-34,2.61164836539e-43,4.64873401768e-52,6.89562158434e-61,8.76728826204e-70
