time,hexokinase,glucose,glucose6phosphate,phosphoglucoisomerase,fructose6phosphate,phosphoglucoisomerase2,glucose6phosphatereversible
1771.4,1e-09,9.99999998229e-07,1.76963036963e-15,1e-06,1.56643470501e-18,1e-06,9.25064269461e-22
1771.5,1e-09,9.99999998229e-07,1.76973026973e-15,1e-06,1.56661151608e-18,1e-06,9.25220921772e-22
1771.6,1e-09,9.99999998229e-07,1.76983016983e-15,1e-06,1.56678833712e-18,1e-06,9.25377591764e-22
1771.7,1e-09,9.99999998229e-07,1.76993006993e-15,1e-06,1.56696516813e-18,1e-06,9.25534279439e-22
1771.8,1e-09,9.99999998229e-07,1.77002997003e-15,1e-06,1.56714200911e-18,1e-06,9.25690984797e-22
1771.9,1e-09,9.99999998229e-07,1.77012987013e-15,1e-06,1.56731886007e-18,1e-06,9.2584770784e-22
1772.0,1e-09,9.99999998229e-07,1.77022977023e-15,1e-06,1.567495721e-18,1e-06,9.26004448569e-22
1772.1,1e-09,9.99999998229e-07,1.77032967033e-15,1e-06,1.5676725919e-18,1e-06,9.26161206984e-22
1772.2,1e-09,9.99999998229e-07,1.77042957043e-15,1e-06,1.56784947277e-18,1e-06,9.26317983087e-22
1772.3,1e-09,9.99999998229e-07,1.77052947053e-15,1e-06,1.56802636361e-18,1e-06,9.26474776879e-22
1772.4,1e-09,9.99999998228e-07,1.77062937063e-15,1e-06,1.56820326443e-18,1e-06,9.2663158836e-22
1772.5,1e-09,9.99999998228e-07,1.77072927073e-15,1e-06,1.56838017522e-18,1e-06,9.26788417532e-22
1772.6,1e-09,9.99999998228e-07,1.77082917083e-15,1e-06,1.56855709598e-18,1e-06,9.26945264395e-22
1772.7,1e-09,9.99999998228e-07,1.77092907093e-15,1e-06,1.56873402672e-18,1e-06,9.27102128951e-22
1772.8,1e-09,9.99999998228e-07,1.77102897103e-15,1e-06,1.56891096742e-18,1e-06,9.272590112e-22
1772.9,1e-09,9.99999998228e-07,1.77112887113e-15,1e-06,1.5690879181e-18,1e-06,9.27415911144e-22
1773.0,1e-09,9.99999998228e-07,1.77122877123e-15,1e-06,1.56926487875e-18,1e-06,9.27572828783e-22
1773.1,1e-09,9.99999998228e-07,1.77132867133e-15,1e-06,1.56944184937e-18,1e-06,9.2772976412e-22
1773.2,1e-09,9.99999998228e-07,1.77142857143e-15,1e-06,1.56961882997e-18,1e-06,9.27886717153e-22
1773.3,1e-09,9.99999998228e-07,1.77152847153e-15,1e-06,1.56979582054e-18,1e-06,9.28043687885e-22
1773.4,1e-09,9.99999998227e-07,1.77162837163e-15,1e-06,1.56997282108e-18,1e-06,9.28200676317e-22
1773.5,1e-09,9.99999998227e-07,1.77172827173e-15,1e-06,1.57014983159e-18,1e-06,9.28357682449e-22
1773.6,1e-09,9.99999998227e-07,1.77182817183e-15,1e-06,1.57032685207e-18,1e-06,9.28514706283e-22
1773.7,1e-09,9.99999998227e-07,1.77192807193e-15,1e-06,1.57050388253e-18,1e-06,9.2867174782e-22
1773.8,1e-09,9.99999998227e-07,1.77202797203e-15,1e-06,1.57068092296e-18,1e-06,9.2882880706e-22
1773.9,1e-09,9.99999998227e-07,1.77212787213e-15,1e-06,1.57085797336e-18,1e-06,9.28985884004e-22
1774.0,1e-09,9.99999998227e-07,1.77222777223e-15,1e-06,1.57103503373e-18,1e-06,9.29142978654e-22
1774.1,1e-09,9.99999998227e-07,1.77232767233e-15,1e-06,1.57121210408e-18,1e-06,9.29300091011e-22
1774.2,1e-09,9.99999998227e-07,1.77242757243e-15,1e-06,1.5713891844e-18,1e-06,9.29457221075e-22
1774.3,1e-09,9.99999998227e-07,1.77252747253e-15,1e-06,1.57156627469e-18,1e-06,9.29614368847e-22
1774.4,1e-09,9.99999998226e-07,1.77262737263e-15,1e-06,1.57174337495e-18,1e-06,9.2977153433e-22
1774.5,1e-09,9.99999998226e-07,1.77272727273e-15,1e-06,1.57192048519e-18,1e-06,9.29928717522e-22
1774.6,1e-09,9.99999998226e-07,1.77282717283e-15,1e-06,1.57209760539e-18,1e-06,9.30085918426e-22
1774.7,1e-09,9.99999998226e-07,1.77292707293e-15,1e-06,1.57227473557e-18,1e-06,9.30243137043e-22
1774.8,1e-09,9.99999998226e-07,1.77302697302e-15,1e-06,1.57245187572e-18,1e-06,9.30400373373e-22
1774.9,1e-09,9.99999998226e-07,1.77312687312e-15,1e-06,1.57262902585e-18,1e-06,9.30557627418e-22
1775.0,1e-09,9.99999998226e-07,1.77322677322e-15,1e-06,1.57280618594e-18,1e-06,9.30714899178e-22
1775.1,1e-09,9.99999998226e-07,1.77332667332e-15,1e-06,1.57298335601e-18,1e-06,9.30872188655e-22
1775.2,1e-09,9.99999998226e-07,1.77342657342e-15,1e-06,1.57316053605e-18,1e-06,9.31029495849e-22
1775.3,1e-09,9.99999998226e-07,1.77352647352e-15,1e-06,1.57333772607e-18,1e-06,9.31186820762e-22
1775.4,1e-09,9.99999998225e-07,1.77362637362e-15,1e-06,1.57351492605e-18,1e-06,9.31344163395e-22
1775.5,1e-09,9.99999998225e-07,1.77372627372e-15,1e-06,1.57369213601e-18,1e-06,9.31501523747e-22
1775.6,1e-09,9.99999998225e-07,1.77382617382e-15,1e-06,1.57386935594e-18,1e-06,9.31658901822e-22
1775.7,1e-09,9.99999998225e-07,1.77392607392e-15,1e-06,1.57404658584e-18,1e-06,9.31816297618e-22
1775.8,1e-09,9.99999998225e-07,1.77402597402e-15,1e-06,1.57422382571e-18,1e-06,9.31973711139e-22
1775.9,1e-09,9.99999998225e-07,1.77412587412e-15,1e-06,1.57440107556e-18,1e-06,9.32131142383e-22
1776.0,1e-09,9.99999998225e-07,1.77422577422e-15,1e-06,1.57457833538e-18,1e-06,9.32288591353e-22
1776.1,1e-09,9.99999998225e-07,1.77432567432e-15,1e-06,1.57475560517e-18,1e-06,9.3244605805e-22
1776.2,1e-09,9.99999998225e-07,1.77442557442e-15,1e-06,1.57493288493e-18,1e-06,9.32603542474e-22
1776.3,1e-09,9.99999998225e-07,1.77452547452e-15,1e-06,1.57511017467e-18,1e-06,9.32761044627e-22
1776.4,1e-09,9.99999998224e-07,1.77462537462e-15,1e-06,1.57528747438e-18,1e-06,9.32918564509e-22
1776.5,1e-09,9.99999998224e-07,1.77472527472e-15,1e-06,1.57546478406e-18,1e-06,9.33076102122e-22
1776.6,1e-09,9.99999998224e-07,1.77482517482e-15,1e-06,1.57564210371e-18,1e-06,9.33233657466e-22
1776.7,1e-09,9.99999998224e-07,1.77492507492e-15,1e-06,1.57581943333e-18,1e-06,9.33391230542e-22
1776.8,1e-09,9.99999998224e-07,1.77502497502e-15,1e-06,1.57599677293e-18,1e-06,9.33548821352e-22
1776.9,1e-09,9.99999998224e-07,1.77512487512e-15,1e-06,1.5761741225e-18,1e-06,9.33706429897e-22
1777.0,1e-09,9.99999998224e-07,1.77522477522e-15,1e-06,1.57635148204e-18,1e-06,9.33864056177e-22
1777.1,1e-09,9.99999998224e-07,1.77532467532e-15,1e-06,1.57652885155e-18,1e-06,9.34021700193e-22
1777.2,1e-09,9.99999998224e-07,1.77542457542e-15,1e-06,1.57670623104e-18,1e-06,9.34179361947e-22
1777.3,1e-09,9.99999998224e-07,1.77552447552e-15,1e-06,1.5768836205e-18,1e-06,9.34337041439e-22
1777.4,1e-09,9.99999998223e-07,1.77562437562e-15,1e-06,1.57706101993e-18,1e-06,9.34494738671e-22
1777.5,1e-09,9.99999998223e-07,1.77572427572e-15,1e-06,1.57723842933e-18,1e-06,9.34652453643e-22
1777.6,1e-09,9.99999998223e-07,1.77582417582e-15,1e-06,1.5774158487e-18,1e-06,9.34810186356e-22
1777.7,1e-09,9.99999998223e-07,1.77592407592e-15,1e-06,1.57759327805e-18,1e-06,9.34967936812e-22
1777.8,1e-09,9.99999998223e-07,1.77602397602e-15,1e-06,1.57777071737e-18,1e-06,9.35125705012e-22
1777.9,1e-09,9.99999998223e-07,1.77612387612e-15,1e-06,1.57794816666e-18,1e-06,9.35283490956e-22
1778.0,1e-09,9.99999998223e-07,1.77622377622e-15,1e-06,1.57812562592e-18,1e-06,9.35441294645e-22
1778.1,1e-09,9.99999998223e-07,1.77632367632e-15,1e-06,1.57830309516e-18,1e-06,9.35599116081e-22
1778.2,1e-09,9.99999998223e-07,1.77642357642e-15,1e-06,1.57848057437e-18,1e-06,9.35756955264e-22
1778.3,1e-09,9.99999998223e-07,1.77652347652e-15,1e-06,1.57865806355e-18,1e-06,9.35914812195e-22
1778.4,1e-09,9.99999998222e-07,1.77662337662e-15,1e-06,1.5788355627e-18,1e-06,9.36072686876e-22
1778.5,1e-09,9.99999998222e-07,1.77672327672e-15,1e-06,1.57901307182e-18,1e-06,9.36230579308e-22
1778.6,1e-09,9.99999998222e-07,1.77682317682e-15,1e-06,1.57919059092e-18,1e-06,9.36388489491e-22
1778.7,1e-09,9.99999998222e-07,1.77692307692e-15,1e-06,1.57936811999e-18,1e-06,9.36546417426e-22
1778.8,1e-09,9.99999998222e-07,1.77702297702e-15,1e-06,1.57954565903e-18,1e-06,9.36704363114e-22
1778.9,1e-09,9.99999998222e-07,1.77712287712e-15,1e-06,1.57972320804e-18,1e-06,9.36862326557e-22
1779.0,1e-09,9.99999998222e-07,1.77722277722e-15,1e-06,1.57990076703e-18,1e-06,9.37020307756e-22
1779.1,1e-09,9.99999998222e-07,1.77732267732e-15,1e-06,1.58007833599e-18,1e-06,9.37178306711e-22
1779.2,1e-09,9.99999998222e-07,1.77742257742e-15,1e-06,1.58025591492e-18,1e-06,9.37336323423e-22
1779.3,1e-09,9.99999998222e-07,1.77752247752e-15,1e-06,1.58043350382e-18,1e-06,9.37494357894e-22
1779.4,1e-09,9.99999998221e-07,1.77762237762e-15,1e-06,1.5806111027e-18,1e-06,9.37652410124e-22
1779.5,1e-09,9.99999998221e-07,1.77772227772e-15,1e-06,1.58078871154e-18,1e-06,9.37810480114e-22
1779.6,1e-09,9.99999998221e-07,1.77782217782e-15,1e-06,1.58096633036e-18,1e-06,9.37968567866e-22
1779.7,1e-09,9.99999998221e-07,1.77792207792e-15,1e-06,1.58114395915e-18,1e-06,9.3812667338e-22
1779.8,1e-09,9.99999998221e-07,1.77802197802e-15,1e-06,1.58132159792e-18,1e-06,9.38284796657e-22
1779.9,1e-09,9.99999998221e-07,1.77812187812e-15,1e-06,1.58149924665e-18,1e-06,9.38442937699e-22
1780.0,1e-09,9.99999998221e-07,1.77822177822e-15,1e-06,1.58167690536e-18,1e-06,9.38601096506e-22
1780.1,1e-09,9.99999998221e-07,1.77832167832e-15,1e-06,1.58185457404e-18,1e-06,9.3875927308e-22
1780.2,1e-09,9.99999998221e-07,1.77842157842e-15,1e-06,1.58203225269e-18,1e-06,9.38917467421e-22
1780.3,1e-09,9.99999998221e-07,1.77852147852e-15,1e-06,1.58220994132e-18,1e-06,9.3907567953e-22
1780.4,1e-09,9.9999999822e-07,1.77862137862e-15,1e-06,1.58238763991e-18,1e-06,9.39233909409e-22
1780.5,1e-09,9.9999999822e-07,1.77872127872e-15,1e-06,1.58256534848e-18,1e-06,9.39392157058e-22
1780.6,1e-09,9.9999999822e-07,1.77882117882e-15,1e-06,1.58274306702e-18,1e-06,9.39550422479e-22
1780.7,1e-09,9.9999999822e-07,1.77892107892e-15,1e-06,1.58292079554e-18,1e-06,9.39708705672e-22
1780.8,1e-09,9.9999999822e-07,1.77902097902e-15,1e-06,1.58309853402e-18,1e-06,9.39867006638e-22
1780.9,1e-09,9.9999999822e-07,1.77912087912e-15,1e-06,1.58327628248e-18,1e-06,9.40025325378e-22
1781.0,1e-09,9.9999999822e-07,1.77922077922e-15,1e-06,1.58345404091e-18,1e-06,9.40183661894e-22
1781.1,1e-09,9.9999999822e-07,1.77932067932e-15,1e-06,1.58363180931e-18,1e-06,9.40342016186e-22
1781.2,1e-09,9.9999999822e-07,1.77942057942e-15,1e-06,1.58380958768e-18,1e-06,9.40500388256e-22
1781.3,1e-09,9.9999999822e-07,1.77952047952e-15,1e-06,1.58398737603e-18,1e-06,9.40658778104e-22
1781.4,1e-09,9.99999998219e-07,1.77962037962e-15,1e-06,1.58416517435e-18,1e-06,9.40817185731e-22
1781.5,1e-09,9.99999998219e-07,1.77972027972e-15,1e-06,1.58434298264e-18,1e-06,9.40975611138e-22
1781.6,1e-09,9.99999998219e-07,1.77982017982e-15,1e-06,1.5845208009e-18,1e-06,9.41134054327e-22
1781.7,1e-09,9.99999998219e-07,1.77992007992e-15,1e-06,1.58469862914e-18,1e-06,9.41292515298e-22
1781.8,1e-09,9.99999998219e-07,1.78001998002e-15,1e-06,1.58487646735e-18,1e-06,9.41450994053e-22
1781.9,1e-09,9.99999998219e-07,1.78011988012e-15,1e-06,1.58505431553e-18,1e-06,9.41609490592e-22
1782.0,1e-09,9.99999998219e-07,1.78021978022e-15,1e-06,1.58523217368e-18,1e-06,9.41768004916e-22
1782.1,1e-09,9.99999998219e-07,1.78031968032e-15,1e-06,1.5854100418e-18,1e-06,9.41926537026e-22
1782.2,1e-09,9.99999998219e-07,1.78041958042e-15,1e-06,1.5855879199e-18,1e-06,9.42085086924e-22
1782.3,1e-09,9.99999998219e-07,1.78051948052e-15,1e-06,1.58576580797e-18,1e-06,9.4224365461e-22
