time,glucose,hexokinase,glucose6phosphate,phosphoglucoisomerase,fructose6phosphate,phosphoglucoisomerase2,glucose6phosphatereversible,phosphofructokinase,fructose16biphosphate
15.3,4e-09,9.99999999939e-07,6.1138393429e-17,1e-06,4.67707498002e-22,1e-06,2.38531434668e-27,1e-06,2.38532347055e-27
15.4,4e-09,9.99999999938e-07,6.15379876948e-17,1e-06,4.73841269605e-22,1e-06,2.43239145207e-27,1e-06,2.43240081682e-27
15.5,4e-09,9.99999999938e-07,6.19375819206e-17,1e-06,4.80015000012e-22,1e-06,2.48008393256e-27,1e-06,2.48009354293e-27
15.6,4e-09,9.99999999938e-07,6.23371761064e-17,1e-06,4.86228689216e-22,1e-06,2.52839578403e-27,1e-06,2.52840564482e-27
15.7,4e-09,9.99999999937e-07,6.27367702523e-17,1e-06,4.92482337207e-22,1e-06,2.57733100236e-27,1e-06,2.57734111843e-27
15.8,4e-09,9.99999999937e-07,6.31363643583e-17,1e-06,4.98775943979e-22,1e-06,2.62689358343e-27,1e-06,2.62690395971e-27
15.9,4e-09,9.99999999936e-07,6.35359584243e-17,1e-06,5.05109509523e-22,1e-06,2.67708752311e-27,1e-06,2.67709816459e-27
16.0,4e-09,9.99999999936e-07,6.39355524503e-17,1e-06,5.11483033832e-22,1e-06,2.72791681729e-27,1e-06,2.72792772901e-27
16.1,4e-09,9.99999999936e-07,6.43351464364e-17,1e-06,5.17896516896e-22,1e-06,2.77938546184e-27,1e-06,2.77939664892e-27
16.2,4e-09,9.99999999935e-07,6.47347403825e-17,1e-06,5.24349958709e-22,1e-06,2.83149745263e-27,1e-06,2.83150892025e-27
16.3,4e-09,9.99999999935e-07,6.51343342886e-17,1e-06,5.30843359261e-22,1e-06,2.88425678554e-27,1e-06,2.88426853894e-27
16.4,4e-09,9.99999999934e-07,6.55339281548e-17,1e-06,5.37376718546e-22,1e-06,2.93766745644e-27,1e-06,2.93767950094e-27
16.5,4e-09,9.99999999934e-07,6.5933521981e-17,1e-06,5.43950036555e-22,1e-06,2.99173346121e-27,1e-06,2.99174580217e-27
16.6,4e-09,9.99999999934e-07,6.63331157673e-17,1e-06,5.50563313279e-22,1e-06,3.04645879571e-27,1e-06,3.04647143857e-27
16.7,4e-09,9.99999999933e-07,6.67327095136e-17,1e-06,5.57216548712e-22,1e-06,3.10184745582e-27,1e-06,3.1018604061e-27
16.8,4e-09,9.99999999933e-07,6.713230322e-17,1e-06,5.63909742845e-22,1e-06,3.15790343741e-27,1e-06,3.15791670067e-27
16.9,4e-09,9.99999999932e-07,6.75318968864e-17,1e-06,5.70642895669e-22,1e-06,3.21463073634e-27,1e-06,3.21464431823e-27
17.0,4e-09,9.99999999932e-07,6.79314905128e-17,1e-06,5.77416007178e-22,1e-06,3.2720333485e-27,1e-06,3.27204725471e-27
17.1,4e-09,9.99999999932e-07,6.83310840993e-17,1e-06,5.84229077363e-22,1e-06,3.33011526973e-27,1e-06,3.33012950605e-27
17.2,4e-09,9.99999999931e-07,6.87306776458e-17,1e-06,5.91082106215e-22,1e-06,3.38888049592e-27,1e-06,3.38889506819e-27
17.3,4e-09,9.99999999931e-07,6.91302711523e-17,1e-06,5.97975093727e-22,1e-06,3.44833302293e-27,1e-06,3.44834793705e-27
17.4,4e-09,9.9999999993e-07,6.95298646189e-17,1e-06,6.04908039891e-22,1e-06,3.50847684663e-27,1e-06,3.50849210858e-27
17.5,4e-09,9.9999999993e-07,6.99294580456e-17,1e-06,6.11880944699e-22,1e-06,3.56931596287e-27,1e-06,3.56933157871e-27
17.6,4e-09,9.9999999993e-07,7.03290514322e-17,1e-06,6.18893808143e-22,1e-06,3.63085436752e-27,1e-06,3.63087034336e-27
17.7,4e-09,9.99999999929e-07,7.07286447789e-17,1e-06,6.25946630214e-22,1e-06,3.69309605645e-27,1e-06,3.69311239849e-27
17.8,4e-09,9.99999999929e-07,7.11282380857e-17,1e-06,6.33039410905e-22,1e-06,3.75604502552e-27,1e-06,3.75606174001e-27
17.9,4e-09,9.99999999928e-07,7.15278313525e-17,1e-06,6.40172150208e-22,1e-06,3.81970527058e-27,1e-06,3.81972236386e-27
18.0,4e-09,9.99999999928e-07,7.19274245793e-17,1e-06,6.47344848115e-22,1e-06,3.88408078751e-27,1e-06,3.88409826597e-27
18.1,4e-09,9.99999999928e-07,7.23270177662e-17,1e-06,6.54557504617e-22,1e-06,3.94917557216e-27,1e-06,3.94919344228e-27
18.2,4e-09,9.99999999927e-07,7.27266109131e-17,1e-06,6.61810119707e-22,1e-06,4.01499362039e-27,1e-06,4.01501188871e-27
