time,hexokinase,glucose,g6p,phosphoglucoisomerase,phosphoglucoisomerase2,f6p,phosphofructokinase,f16p,fructosephosphatealdolase,fructosephosphatealdolase2,g3p,dhp,g6pdehydrogenase,pg6
9.6,1e-09,9.9999999999e-07,9.59040949834e-18,1e-09,1e-09,4.60339651504e-26,1e-09,1.47308688835e-34,1e-09,1e-09,3.53540853712e-43,3.53540853712e-43,1e-09,4.6033965445e-26
9.7,1e-09,9.9999999999e-07,9.69030959631e-18,1e-09,1e-09,4.69980010865e-26,1e-09,1.51960203881e-34,1e-09,1e-09,3.68503494948e-43,3.68503494948e-43,1e-09,4.69980013905e-26
9.8,1e-09,9.9999999999e-07,9.79020969427e-18,1e-09,1e-09,4.79720270321e-26,1e-09,1.56708622022e-34,1e-09,1e-09,3.83936124518e-43,3.83936124518e-43,1e-09,4.79720273455e-26
9.9,1e-09,9.9999999999e-07,9.8901097922e-18,1e-09,1e-09,4.8956042987e-26,1e-09,1.61554942257e-34,1e-09,1e-09,3.99848482679e-43,3.99848482679e-43,1e-09,4.89560433101e-26
10.0,1e-09,9.9999999999e-07,9.99000989011e-18,1e-09,1e-09,4.99500489514e-26,1e-09,1.66500163587e-34,1e-09,1e-09,4.16250409592e-43,4.16250409592e-43,1e-09,4.99500492844e-26
10.1,1e-09,9.9999999999e-07,1.0089909988e-17,1e-09,1e-09,5.09540449251e-26,1e-09,1.71545285014e-34,1e-09,1e-09,4.33151845316e-43,4.33151845316e-43,1e-09,5.09540452682e-26
10.2,1e-09,9.9999999999e-07,1.01898100859e-17,1e-09,1e-09,5.19680309082e-26,1e-09,1.76691305538e-34,1e-09,1e-09,4.50562829811e-43,4.50562829811e-43,1e-09,5.19680312616e-26
10.3,1e-09,9.9999999999e-07,1.02897101837e-17,1e-09,1e-09,5.29920069007e-26,1e-09,1.81939224161e-34,1e-09,1e-09,4.68493502937e-43,4.68493502937e-43,1e-09,5.29920072646e-26
10.4,1e-09,9.9999999999e-07,1.03896102816e-17,1e-09,1e-09,5.40259729026e-26,1e-09,1.87290039882e-34,1e-09,1e-09,4.86954104453e-43,4.86954104453e-43,1e-09,5.40259732772e-26
10.5,1e-09,9.9999999999e-07,1.04895103794e-17,1e-09,1e-09,5.50699289138e-26,1e-09,1.92744751704e-34,1e-09,1e-09,5.0595497402e-43,5.0595497402e-43,1e-09,5.50699292993e-26
10.6,1e-09,9.99999999989e-07,1.05894104772e-17,1e-09,1e-09,5.61238749344e-26,1e-09,1.98304358627e-34,1e-09,1e-09,5.25506551196e-43,5.25506551196e-43,1e-09,5.61238753311e-26
10.7,1e-09,9.99999999989e-07,1.06893105749e-17,1e-09,1e-09,5.71878109644e-26,1e-09,2.03969859652e-34,1e-09,1e-09,5.45619375443e-43,5.45619375443e-43,1e-09,5.71878113723e-26
10.8,1e-09,9.99999999989e-07,1.07892106727e-17,1e-09,1e-09,5.82617370037e-26,1e-09,2.09742253779e-34,1e-09,1e-09,5.66304086121e-43,5.66304086121e-43,1e-09,5.82617374232e-26
10.9,1e-09,9.99999999989e-07,1.08891107704e-17,1e-09,1e-09,5.93456530523e-26,1e-09,2.15622540011e-34,1e-09,1e-09,5.87571422489e-43,5.87571422489e-43,1e-09,5.93456534836e-26
11.0,1e-09,9.99999999989e-07,1.09890108681e-17,1e-09,1e-09,6.04395591103e-26,1e-09,2.21611717347e-34,1e-09,1e-09,6.09432223709e-43,6.09432223709e-43,1e-09,6.04395595536e-26
11.1,1e-09,9.99999999989e-07,1.10889109658e-17,1e-09,1e-09,6.15434551776e-26,1e-09,2.27710784789e-34,1e-09,1e-09,6.3189742884e-43,6.3189742884e-43,1e-09,6.15434556331e-26
11.2,1e-09,9.99999999989e-07,1.11888110635e-17,1e-09,1e-09,6.26573412543e-26,1e-09,2.33920741337e-34,1e-09,1e-09,6.54978076844e-43,6.54978076844e-43,1e-09,6.26573417221e-26
11.3,1e-09,9.99999999989e-07,1.12887111611e-17,1e-09,1e-09,6.37812173402e-26,1e-09,2.40242585993e-34,1e-09,1e-09,6.7868530658e-43,6.7868530658e-43,1e-09,6.37812178207e-26
11.4,1e-09,9.99999999989e-07,1.13886112588e-17,1e-09,1e-09,6.49150834355e-26,1e-09,2.46677317758e-34,1e-09,1e-09,7.0303035681e-43,7.0303035681e-43,1e-09,6.49150839289e-26
11.5,1e-09,9.99999999989e-07,1.14885113564e-17,1e-09,1e-09,6.60589395401e-26,1e-09,2.53225935631e-34,1e-09,1e-09,7.28024566195e-43,7.28024566195e-43,1e-09,6.60589400465e-26
11.6,1e-09,9.99999999988e-07,1.1588411454e-17,1e-09,1e-09,6.7212785654e-26,1e-09,2.59889438615e-34,1e-09,1e-09,7.53679373295e-43,7.53679373295e-43,1e-09,6.72127861737e-26
11.7,1e-09,9.99999999988e-07,1.16883115516e-17,1e-09,1e-09,6.83766217771e-26,1e-09,2.6666882571e-34,1e-09,1e-09,7.80006316571e-43,7.80006316571e-43,1e-09,6.83766223105e-26
11.8,1e-09,9.99999999988e-07,1.17882116491e-17,1e-09,1e-09,6.95504479096e-26,1e-09,2.73565095918e-34,1e-09,1e-09,8.07017034384e-43,8.07017034384e-43,1e-09,6.95504484567e-26
11.9,1e-09,9.99999999988e-07,1.18881117466e-17,1e-09,1e-09,7.07342640514e-26,1e-09,2.80579248238e-34,1e-09,1e-09,8.34723264997e-43,8.34723264997e-43,1e-09,7.07342646125e-26
12.0,1e-09,9.99999999988e-07,1.19880118442e-17,1e-09,1e-09,7.19280702024e-26,1e-09,2.87712281672e-34,1e-09,1e-09,8.63136846569e-43,8.63136846569e-43,1e-09,7.19280707778e-26
12.1,1e-09,9.99999999988e-07,1.20879119416e-17,1e-09,1e-09,7.31318663627e-26,1e-09,2.94965195221e-34,1e-09,1e-09,8.92269717162e-43,8.92269717162e-43,1e-09,7.31318669526e-26
12.2,1e-09,9.99999999988e-07,1.21878120391e-17,1e-09,1e-09,7.43456525322e-26,1e-09,3.02338987886e-34,1e-09,1e-09,9.22133914738e-43,9.22133914738e-43,1e-09,7.43456531369e-26
12.3,1e-09,9.99999999988e-07,1.22877121366e-17,1e-09,1e-09,7.5569428711e-26,1e-09,3.09834658667e-34,1e-09,1e-09,9.52741577159e-43,9.52741577159e-43,1e-09,7.55694293307e-26
