time,hexokinase,glucose,glucose6phosphate
849.7,1e-09,9.99999999151e-07,8.48851148851e-16
849.8,1e-09,9.99999999151e-07,8.48951048951e-16
849.9,1e-09,9.99999999151e-07,8.49050949051e-16
850.0,1e-09,9.9999999915e-07,8.4915084915e-16
850.1,1e-09,9.9999999915e-07,8.4925074925e-16
850.2,1e-09,9.9999999915e-07,8.4935064935e-16
850.3,1e-09,9.9999999915e-07,8.4945054945e-16
850.4,1e-09,9.9999999915e-07,8.4955044955e-16
850.5,1e-09,9.9999999915e-07,8.4965034965e-16
850.6,1e-09,9.9999999915e-07,8.4975024975e-16
850.7,1e-09,9.9999999915e-07,8.4985014985e-16
850.8,1e-09,9.9999999915e-07,8.4995004995e-16
850.9,1e-09,9.9999999915e-07,8.5004995005e-16
851.0,1e-09,9.99999999149e-07,8.50149850149e-16
851.1,1e-09,9.99999999149e-07,8.50249750249e-16
851.2,1e-09,9.99999999149e-07,8.50349650349e-16
851.3,1e-09,9.99999999149e-07,8.50449550449e-16
851.4,1e-09,9.99999999149e-07,8.50549450549e-16
851.5,1e-09,9.99999999149e-07,8.50649350649e-16
851.6,1e-09,9.99999999149e-07,8.50749250749e-16
851.7,1e-09,9.99999999149e-07,8.50849150849e-16
851.8,1e-09,9.99999999149e-07,8.50949050949e-16
851.9,1e-09,9.99999999149e-07,8.51048951049e-16
852.0,1e-09,9.99999999148e-07,8.51148851148e-16
852.1,1e-09,9.99999999148e-07,8.51248751248e-16
852.2,1e-09,9.99999999148e-07,8.51348651348e-16
852.3,1e-09,9.99999999148e-07,8.51448551448e-16
852.4,1e-09,9.99999999148e-07,8.51548451548e-16
852.5,1e-09,9.99999999148e-07,8.51648351648e-16
852.6,1e-09,9.99999999148e-07,8.51748251748e-16
852.7,1e-09,9.99999999148e-07,8.51848151848e-16
852.8,1e-09,9.99999999148e-07,8.51948051948e-16
852.9,1e-09,9.99999999148e-07,8.52047952048e-16
853.0,1e-09,9.99999999147e-07,8.52147852147e-16
853.1,1e-09,9.99999999147e-07,8.52247752247e-16
853.2,1e-09,9.99999999147e-07,8.52347652347e-16
853.3,1e-09,9.99999999147e-07,8.52447552447e-16
853.4,1e-09,9.99999999147e-07,8.52547452547e-16
853.5,1e-09,9.99999999147e-07,8.52647352647e-16
853.6,1e-09,9.99999999147e-07,8.52747252747e-16
853.7,1e-09,9.99999999147e-07,8.52847152847e-16
853.8,1e-09,9.99999999147e-07,8.52947052947e-16
853.9,1e-09,9.99999999147e-07,8.53046953047e-16
854.0,1e-09,9.99999999146e-07,8.53146853146e-16
854.1,1e-09,9.99999999146e-07,8.53246753246e-16
854.2,1e-09,9.99999999146e-07,8.53346653346e-16
854.3,1e-09,9.99999999146e-07,8.53446553446e-16
