time,Glucose,Hexokinase,Complex_G_H
519.0,1e-06,1.000363366e-06,1.55687884277e-16
520.0,1e-06,1.00036406626e-06,1.55987837554e-16
521.0,1e-06,1.00036476651e-06,1.56287790741e-16
522.0,1e-06,1.00036546677e-06,1.56587743838e-16
523.0,1e-06,1.00036616702e-06,1.56887696845e-16
524.0,1e-06,1.00036686728e-06,1.57187649763e-16
525.0,1e-06,1.00036756754e-06,1.5748760259e-16
526.0,1e-06,1.00036826779e-06,1.57787555328e-16
527.0,1e-06,1.00036896805e-06,1.58087507976e-16
528.0,1e-06,1.00036966831e-06,1.58387460534e-16
529.0,1e-06,1.00037036857e-06,1.58687413002e-16
530.0,1e-06,1.00037106883e-06,1.5898736538e-16
531.0,1e-06,1.00037176909e-06,1.59287317669e-16
532.0,1e-06,1.00037246935e-06,1.59587269867e-16
533.0,1e-06,1.00037316961e-06,1.59887221976e-16
534.0,1e-06,1.00037386987e-06,1.60187173994e-16
535.0,1e-06,1.00037457013e-06,1.60487125923e-16
536.0,1e-06,1.0003752704e-06,1.60787077762e-16
537.0,1e-06,1.00037597066e-06,1.61087029511e-16
538.0,1e-06,1.00037667092e-06,1.61386981171e-16
539.0,1e-06,1.00037737119e-06,1.6168693274e-16
540.0,1e-06,1.00037807145e-06,1.61986884219e-16
541.0,1e-06,1.00037877172e-06,1.62286835609e-16
542.0,1e-06,1.00037947198e-06,1.62586786909e-16
543.0,1e-06,1.00038017225e-06,1.62886738119e-16
544.0,1e-06,1.00038087251e-06,1.63186689239e-16
545.0,1e-06,1.00038157278e-06,1.63486640269e-16
546.0,1e-06,1.00038227305e-06,1.63786591209e-16
547.0,1e-06,1.00038297332e-06,1.64086542059e-16
548.0,1e-06,1.00038367358e-06,1.6438649282e-16
549.0,1e-06,1.00038437385e-06,1.64686443491e-16
550.0,1e-06,1.00038507412e-06,1.64986394071e-16
551.0,1e-06,1.00038577439e-06,1.65286344562e-16
552.0,1e-06,1.00038647466e-06,1.65586294963e-16
553.0,1e-06,1.00038717493e-06,1.65886245274e-16
554.0,1e-06,1.0003878752e-06,1.66186195496e-16
555.0,1e-06,1.00038857548e-06,1.66486145627e-16
556.0,1e-06,1.00038927575e-06,1.66786095669e-16
557.0,1e-06,1.00038997602e-06,1.6708604562e-16
558.0,1e-06,1.00039067629e-06,1.67385995482e-16
559.0,1e-06,1.00039137657e-06,1.67685945254e-16
560.0,1e-06,1.00039207684e-06,1.67985894936e-16
561.0,1e-06,1.00039277712e-06,1.68285844529e-16
562.0,1e-06,1.00039347739e-06,1.68585794031e-16
563.0,1e-06,1.00039417767e-06,1.68885743443e-16
564.0,1e-06,1.00039487794e-06,1.69185692766e-16
565.0,1e-06,1.00039557822e-06,1.69485641999e-16
566.0,1e-06,1.0003962785e-06,1.69785591142e-16
567.0,1e-06,1.00039697878e-06,1.70085540195e-16
568.0,1e-06,1.00039767905e-06,1.70385489158e-16
569.0,1e-06,1.00039837933e-06,1.70685438031e-16
570.0,1e-06,1.00039907961e-06,1.70985386815e-16
571.0,1e-06,1.00039977989e-06,1.71285335508e-16
572.0,1e-06,1.00040048017e-06,1.71585284112e-16
573.0,1e-06,1.00040118045e-06,1.71885232626e-16
574.0,1e-06,1.00040188073e-06,1.7218518105e-16
575.0,1e-06,1.00040258101e-06,1.72485129384e-16
576.0,1e-06,1.0004032813e-06,1.72785077628e-16
577.0,1e-06,1.00040398158e-06,1.73085025782e-16
578.0,1e-06,1.00040468186e-06,1.73384973847e-16
579.0,1e-06,1.00040538215e-06,1.73684921822e-16
580.0,1e-06,1.00040608243e-06,1.73984869706e-16
581.0,1e-06,1.00040678271e-06,1.74284817501e-16
582.0,1e-06,1.000407483e-06,1.74584765206e-16
583.0,1e-06,1.00040818328e-06,1.74884712821e-16
584.0,1e-06,1.00040888357e-06,1.75184660347e-16
585.0,1e-06,1.00040958386e-06,1.75484607782e-16
586.0,1e-06,1.00041028414e-06,1.75784555128e-16
587.0,1e-06,1.00041098443e-06,1.76084502384e-16
588.0,1e-06,1.00041168472e-06,1.7638444955e-16
589.0,1e-06,1.00041238501e-06,1.76684396626e-16
590.0,1e-06,1.0004130853e-06,1.76984343612e-16
591.0,1e-06,1.00041378559e-06,1.77284290508e-16
592.0,1e-06,1.00041448588e-06,1.77584237315e-16
593.0,1e-06,1.00041518617e-06,1.77884184031e-16
594.0,1e-06,1.00041588646e-06,1.78184130658e-16
595.0,1e-06,1.00041658675e-06,1.78484077195e-16
596.0,1e-06,1.00041728704e-06,1.78784023642e-16
