time,Glucose,Hexokinase,Complex_G_H
1285.0,1e-06,3.00269971401e-06,1.15627733602e-15
1286.0,1e-06,3.0027018159e-06,1.15717698952e-15
1287.0,1e-06,3.0027039178e-06,1.15807664275e-15
1288.0,1e-06,3.00270601969e-06,1.15897629572e-15
1289.0,1e-06,3.00270812159e-06,1.15987594841e-15
1290.0,1e-06,3.00271022348e-06,1.16077560084e-15
1291.0,1e-06,3.00271232538e-06,1.16167525299e-15
1292.0,1e-06,3.00271442728e-06,1.16257490488e-15
1293.0,1e-06,3.00271652918e-06,1.1634745565e-15
1294.0,1e-06,3.00271863108e-06,1.16437420785e-15
1295.0,1e-06,3.00272073299e-06,1.16527385893e-15
1296.0,1e-06,3.00272283489e-06,1.16617350974e-15
1297.0,1e-06,3.0027249368e-06,1.16707316028e-15
1298.0,1e-06,3.00272703871e-06,1.16797281056e-15
1299.0,1e-06,3.00272914062e-06,1.16887246056e-15
1300.0,1e-06,3.00273124253e-06,1.1697721103e-15
1301.0,1e-06,3.00273334444e-06,1.17067175976e-15
1302.0,1e-06,3.00273544635e-06,1.17157140896e-15
1303.0,1e-06,3.00273754827e-06,1.17247105789e-15
1304.0,1e-06,3.00273965019e-06,1.17337070655e-15
1305.0,1e-06,3.0027417521e-06,1.17427035494e-15
1306.0,1e-06,3.00274385402e-06,1.17517000306e-15
1307.0,1e-06,3.00274595595e-06,1.17606965091e-15
1308.0,1e-06,3.00274805787e-06,1.17696929849e-15
1309.0,1e-06,3.00275015979e-06,1.1778689458e-15
1310.0,1e-06,3.00275226172e-06,1.17876859285e-15
1311.0,1e-06,3.00275436365e-06,1.17966823962e-15
1312.0,1e-06,3.00275646558e-06,1.18056788613e-15
1313.0,1e-06,3.00275856751e-06,1.18146753237e-15
1314.0,1e-06,3.00276066944e-06,1.18236717834e-15
1315.0,1e-06,3.00276277137e-06,1.18326682404e-15
1316.0,1e-06,3.00276487331e-06,1.18416646947e-15
1317.0,1e-06,3.00276697524e-06,1.18506611463e-15
1318.0,1e-06,3.00276907718e-06,1.18596575952e-15
1319.0,1e-06,3.00277117912e-06,1.18686540414e-15
1320.0,1e-06,3.00277328106e-06,1.1877650485e-15
1321.0,1e-06,3.002775383e-06,1.18866469258e-15
1322.0,1e-06,3.00277748494e-06,1.1895643364e-15
1323.0,1e-06,3.00277958689e-06,1.19046397994e-15
1324.0,1e-06,3.00278168884e-06,1.19136362322e-15
