time,GluGA3P,GA3PDHAP,DHAPG3P,Glu,GA3P,DHAP,G3P
1796.1,4.06e-05,1.5e-06,0.05,5.12020480986e-07,4.29106027291e-07,1.07224448955e-09,5.78012472338e-08
1796.2,4.06e-05,1.5e-06,0.05,5.1200139878e-07,4.29119480834e-07,1.07227874421e-09,5.78068416422e-08
1796.3,4.06e-05,1.5e-06,0.05,5.11982317285e-07,4.29132933489e-07,1.07231299662e-09,5.78124362294e-08
1796.4,4.06e-05,1.5e-06,0.05,5.11963236501e-07,4.29146385257e-07,1.07234724678e-09,5.78180309952e-08
1796.5,4.06e-05,1.5e-06,0.05,5.11944156429e-07,4.29159836137e-07,1.07238149469e-09,5.78236259397e-08
1796.6,4.06e-05,1.5e-06,0.05,5.11925077067e-07,4.29173286129e-07,1.07241574035e-09,5.78292210629e-08
1796.7,4.06e-05,1.5e-06,0.05,5.11905998417e-07,4.29186735235e-07,1.07244998377e-09,5.78348163648e-08
1796.8,4.06e-05,1.5e-06,0.05,5.11886920477e-07,4.29200183452e-07,1.07248422493e-09,5.78404118454e-08
1796.9,4.06e-05,1.5e-06,0.05,5.11867843249e-07,4.29213630783e-07,1.07251846384e-09,5.78460075045e-08
1797.0,4.06e-05,1.5e-06,0.05,5.11848766731e-07,4.29227077226e-07,1.07255270051e-09,5.78516033423e-08
1797.1,4.06e-05,1.5e-06,0.05,5.11829690925e-07,4.29240522781e-07,1.07258693492e-09,5.78571993588e-08
1797.2,4.06e-05,1.5e-06,0.05,5.11810615829e-07,4.2925396745e-07,1.07262116709e-09,5.78627955538e-08
1797.3,4.06e-05,1.5e-06,0.05,5.11791541445e-07,4.29267411231e-07,1.072655397e-09,5.78683919274e-08
1797.4,4.06e-05,1.5e-06,0.05,5.11772467771e-07,4.29280854125e-07,1.07268962467e-09,5.78739884797e-08
1797.5,4.06e-05,1.5e-06,0.05,5.11753394808e-07,4.29294296131e-07,1.07272385009e-09,5.78795852104e-08
1797.6,4.06e-05,1.5e-06,0.05,5.11734322556e-07,4.29307737251e-07,1.07275807326e-09,5.78851821198e-08
1797.7,4.06e-05,1.5e-06,0.05,5.11715251015e-07,4.29321177484e-07,1.07279229418e-09,5.78907792077e-08
1797.8,4.06e-05,1.5e-06,0.05,5.11696180184e-07,4.29334616829e-07,1.07282651285e-09,5.78963764741e-08
1797.9,4.06e-05,1.5e-06,0.05,5.11677110064e-07,4.29348055288e-07,1.07286072927e-09,5.79019739191e-08
1798.0,4.06e-05,1.5e-06,0.05,5.11658040655e-07,4.29361492859e-07,1.07289494345e-09,5.79075715426e-08
1798.1,4.06e-05,1.5e-06,0.05,5.11638971957e-07,4.29374929544e-07,1.07292915537e-09,5.79131693446e-08
1798.2,4.06e-05,1.5e-06,0.05,5.11619903969e-07,4.29388365341e-07,1.07296336505e-09,5.79187673251e-08
1798.3,4.06e-05,1.5e-06,0.05,5.11600836692e-07,4.29401800252e-07,1.07299757248e-09,5.7924365484e-08
1798.4,4.06e-05,1.5e-06,0.05,5.11581770125e-07,4.29415234276e-07,1.07303177766e-09,5.79299638214e-08
1798.5,4.06e-05,1.5e-06,0.05,5.11562704269e-07,4.29428667413e-07,1.0730659806e-09,5.79355623373e-08
1798.6,4.06e-05,1.5e-06,0.05,5.11543639124e-07,4.29442099663e-07,1.07310018128e-09,5.79411610316e-08
1798.7,4.06e-05,1.5e-06,0.05,5.11524574689e-07,4.29455531027e-07,1.07313437972e-09,5.79467599044e-08
1798.8,4.06e-05,1.5e-06,0.05,5.11505510964e-07,4.29468961504e-07,1.07316857591e-09,5.79523589556e-08
1798.9,4.06e-05,1.5e-06,0.05,5.11486447951e-07,4.29482391094e-07,1.07320276985e-09,5.79579581852e-08
1799.0,4.06e-05,1.5e-06,0.05,5.11467385647e-07,4.29495819798e-07,1.07323696155e-09,5.79635575931e-08
1799.1,4.06e-05,1.5e-06,0.05,5.11448324054e-07,4.29509247615e-07,1.073271151e-09,5.79691571795e-08
1799.2,4.06e-05,1.5e-06,0.05,5.11429263171e-07,4.29522674546e-07,1.0733053382e-09,5.79747569442e-08
1799.3,4.06e-05,1.5e-06,0.05,5.11410202999e-07,4.2953610059e-07,1.07333952315e-09,5.79803568874e-08
1799.4,4.06e-05,1.5e-06,0.05,5.11391143537e-07,4.29549525748e-07,1.07337370586e-09,5.79859570088e-08
1799.5,4.06e-05,1.5e-06,0.05,5.11372084786e-07,4.29562950019e-07,1.07340788632e-09,5.79915573086e-08
1799.6,4.06e-05,1.5e-06,0.05,5.11353026744e-07,4.29576373404e-07,1.07344206453e-09,5.79971577867e-08
1799.7,4.06e-05,1.5e-06,0.05,5.11333969413e-07,4.29589795903e-07,1.0734762405e-09,5.80027584432e-08
1799.8,4.06e-05,1.5e-06,0.05,5.11314912792e-07,4.29603217515e-07,1.07351041422e-09,5.80083592779e-08
1799.9,4.06e-05,1.5e-06,0.05,5.11295856882e-07,4.29616638242e-07,1.07354458569e-09,5.80139602909e-08
1800.0,4.06e-05,1.5e-06,0.05,5.11276801681e-07,4.29630058081e-07,1.07357875491e-09,5.80195614822e-08
1800.1,4.06e-05,1.5e-06,0.05,5.11257747191e-07,4.29643477035e-07,1.07361292189e-09,5.80251628518e-08
1800.2,4.06e-05,1.5e-06,0.05,5.11238693411e-07,4.29656895103e-07,1.07364708663e-09,5.80307643997e-08
1800.3,4.06e-05,1.5e-06,0.05,5.11219640341e-07,4.29670312284e-07,1.07368124911e-09,5.80363661257e-08
1800.4,4.06e-05,1.5e-06,0.05,5.11200587981e-07,4.2968372858e-07,1.07371540936e-09,5.804196803e-08
1800.5,4.06e-05,1.5e-06,0.05,5.11181536331e-07,4.29697143989e-07,1.07374956735e-09,5.80475701126e-08
1800.6,4.06e-05,1.5e-06,0.05,5.11162485391e-07,4.29710558512e-07,1.0737837231e-09,5.80531723733e-08
1800.7,4.06e-05,1.5e-06,0.05,5.11143435161e-07,4.2972397215e-07,1.0738178766e-09,5.80587748123e-08
1800.8,4.06e-05,1.5e-06,0.05,5.11124385641e-07,4.29737384901e-07,1.07385202786e-09,5.80643774294e-08
1800.9,4.06e-05,1.5e-06,0.05,5.11105336831e-07,4.29750796767e-07,1.07388617687e-09,5.80699802247e-08
1801.0,4.06e-05,1.5e-06,0.05,5.11086288731e-07,4.29764207747e-07,1.07392032364e-09,5.80755831982e-08
