time,GlucoseGA3P,GA3PDHAP,DHAPG3P,G3PGlycerol,GA3PPyruvate,PyruvateAlphaAcetolactate,AlphaAcetolactateDiacetyl,DiacetylAcetoin,AcetoinBDO,PyruvateAcetylaldehyde,AcetylaldehydeAcetoin,AcetylaldehydeAcetate,AcetateEthanol,Glucose,GA3P,DHAP,G3P,Glycerol,Pyruvate,AlphaAcetolactate,Diacetyl,Acetoin,BDO,Acetylaldehyde,Acetate,Ethanol
45.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.003375e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000907639515144,1.66666666667e+99,0.00183606792953,0.000108611830897,1.34174980148e-06,1.66666666667e+99,0.000139417996823,1.74304293001e-08,2.55324089089e-08,5.15656920907e-11,1.3789233513e-05,1.93431179027e-07,0.000558299893459
46.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00345e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000905619740397,1.66666666667e+99,0.0018771626613,0.000111449487967,1.40936095611e-06,1.66666666667e+99,0.000142567067149,1.79915862075e-08,2.67735667479e-08,5.51265614948e-11,1.3789233513e-05,1.93431179027e-07,0.000571199732508
47.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.003525e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000903601437536,1.66666666667e+99,0.00191825268228,0.00011429014974,1.47867820753e-06,1.66666666667e+99,0.000145716336254,1.85550549524e-08,2.80489623023e-08,5.88587690741e-11,1.3789233513e-05,1.93431179027e-07,0.000584099571556
48.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0036e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000901584609909,1.66666666667e+99,0.00195933817832,0.000117133630496,1.54970140829e-06,1.66666666667e+99,0.000148865804137,1.91206997842e-08,2.93587281103e-08,6.2766986098e-11,1.3789233513e-05,1.93431179027e-07,0.000596999410604
49.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.003675e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000899569260872,1.66666666667e+99,0.00200041932449,0.000119979755436,1.62243030031e-06,1.66666666667e+99,0.000152015470795,1.96883930101e-08,3.0702988634e-08,6.68559013279e-11,1.3789233513e-05,1.93431179027e-07,0.000609899249653
50.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00375e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000897555393788,1.66666666667e+99,0.00204149628586,0.000122828359845,1.69686452162e-06,1.66666666667e+99,0.000155165336229,2.02580145173e-08,3.20818607391e-08,7.11302199504e-11,1.3789233513e-05,1.93431179027e-07,0.000622799088701
51.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.003825e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000895543012028,1.66666666667e+99,0.00208256921827,0.000125679288345,1.77300361265e-06,1.66666666667e+99,0.000158315400436,2.08294513229e-08,3.34954541462e-08,7.55946625739e-11,1.3789233513e-05,1.93431179027e-07,0.00063569892775
52.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.0039e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000893532118972,1.66666666667e+99,0.002123638269,0.000128532394209,1.85084702201e-06,1.66666666667e+99,0.000161465663415,2.14025971504e-08,3.49438718543e-08,8.0253964285e-11,1.3789233513e-05,1.93431179027e-07,0.000648598766798
53.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.003975e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000891522718006,1.66666666667e+99,0.00216470357738,0.000131387538739,1.9303941119e-06,1.66666666667e+99,0.000164616125164,2.1977352032e-08,3.64272105404e-08,8.51128737604e-11,1.3789233513e-05,1.93431179027e-07,0.000661498605846
54.0,1e-06,1e-06,1e-06,1e-06,1e-06,1.00405e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.000889514812524,1.66666666667e+99,0.00220576527536,0.000134244590704,2.01164416305e-06,1.66666666667e+99,0.000167766785682,2.25536219337e-08,3.79455609345e-08,9.01761524318e-11,1.3789233513e-05,1.93431179027e-07,0.000674398444895
